left	top	width	height	conf	text	name
0	0	2200	2600	-1.0		01073.jpg
838	200	47	2	-1.0		01073.jpg
838	200	47	2	-1.0		01073.jpg
838	200	47	2	-1.0		01073.jpg
838	200	47	2	31.11203	a	01073.jpg
1093	200	43	3	-1.0		01073.jpg
1093	200	43	3	-1.0		01073.jpg
1093	200	43	3	-1.0		01073.jpg
1093	200	43	3	29.501793	a	01073.jpg
892	273	168	33	-1.0		01073.jpg
892	273	168	33	-1.0		01073.jpg
892	273	168	33	-1.0		01073.jpg
892	273	67	33	96.17318	No.	01073.jpg
975	274	85	32	96.623055	881.	01073.jpg
353	349	1251	41	-1.0		01073.jpg
353	349	1251	41	-1.0		01073.jpg
353	349	1251	41	-1.0		01073.jpg
353	349	37	38	95.733864	A	01073.jpg
415	349	143	33	96.036057	JOINT	01073.jpg
584	349	301	33	95.956779	RESOLUTION	01073.jpg
913	354	39	28	96.57309	to	01073.jpg
978	349	209	33	96.484657	Authorize	01073.jpg
1213	350	75	33	96.335236	and	01073.jpg
1315	350	196	40	95.922119	Empower	01073.jpg
1538	351	66	33	96.897453	the	01073.jpg
455	402	1149	41	-1.0		01073.jpg
455	402	1149	41	-1.0		01073.jpg
455	402	1149	41	-1.0		01073.jpg
455	403	194	33	96.20118	Governor	01073.jpg
671	402	76	34	96.722481	and	01073.jpg
771	402	186	41	96.232872	Attorney	01073.jpg
980	403	164	33	96.092697	General	01073.jpg
1167	403	41	33	96.831398	of	01073.jpg
1231	403	65	33	96.172188	the	01073.jpg
1319	404	104	32	95.936485	State	01073.jpg
1446	408	40	28	92.785477	to	01073.jpg
1510	402	94	34	93.13044	Con-	01073.jpg
456	456	1148	41	-1.0		01073.jpg
456	456	1148	41	-1.0		01073.jpg
456	456	1148	41	-1.0		01073.jpg
456	461	98	28	95.971405	tract	01073.jpg
575	456	38	32	96.16188	in	01073.jpg
634	456	137	33	95.645569	Behalf	01073.jpg
792	456	41	33	96.428284	of	01073.jpg
853	456	66	33	96.66964	the	01073.jpg
938	457	104	32	96.556854	State	01073.jpg
1062	457	105	32	96.549225	With	01073.jpg
1188	469	49	21	96.744583	an	01073.jpg
1258	457	126	39	96.427971	Agent	01073.jpg
1404	469	43	21	93.304543	or	01073.jpg
1468	458	136	39	92.091415	Repre-	01073.jpg
455	510	1150	40	-1.0		01073.jpg
455	510	1150	40	-1.0		01073.jpg
455	510	1150	40	-1.0		01073.jpg
455	510	184	33	96.473038	sentative	01073.jpg
656	510	61	33	95.541435	for	01073.jpg
733	511	65	32	96.409149	the	01073.jpg
815	511	117	39	96.506256	State,	01073.jpg
949	511	37	32	96.485497	in	01073.jpg
1003	523	50	21	96.119255	an	01073.jpg
1070	511	120	33	96.119255	Effort	01073.jpg
1206	516	39	28	96.293312	to	01073.jpg
1262	511	144	33	96.358727	Collect	01073.jpg
1422	511	99	33	96.644753	from	01073.jpg
1539	511	66	33	96.699638	the	01073.jpg
457	564	1148	41	-1.0		01073.jpg
457	564	1148	41	-1.0		01073.jpg
457	564	1148	41	-1.0		01073.jpg
457	564	157	33	96.73497	Federal	01073.jpg
643	564	254	33	96.199379	Government	01073.jpg
925	565	152	33	96.376297	Certain	01073.jpg
1104	565	107	33	96.893105	Sums	01073.jpg
1237	565	43	33	95.609871	of	01073.jpg
1309	565	137	40	95.893013	Money	01073.jpg
1475	566	37	32	96.807503	in	01073.jpg
1539	566	66	33	96.844856	the	01073.jpg
455	618	1150	40	-1.0		01073.jpg
455	618	1150	40	-1.0		01073.jpg
455	618	1150	40	-1.0		01073.jpg
455	618	186	40	96.655487	Treasury	01073.jpg
657	618	41	33	95.847321	of	01073.jpg
714	618	65	33	95.847321	the	01073.jpg
796	618	137	34	96.593063	United	01073.jpg
950	618	124	33	96.654655	States	01073.jpg
1088	619	42	32	96.294991	of	01073.jpg
1146	619	175	33	96.35099	America	01073.jpg
1337	619	152	39	96.334709	Arising	01073.jpg
1506	619	99	33	96.369858	from	01073.jpg
457	672	1146	40	-1.0		01073.jpg
457	672	1146	40	-1.0		01073.jpg
457	672	1146	40	-1.0		01073.jpg
457	672	127	33	96.071037	Direct	01073.jpg
604	672	81	32	93.231415	Tax	01073.jpg
706	672	135	33	92.100327	Levied	01073.jpg
863	672	75	33	96.868164	and	01073.jpg
960	672	191	33	96.426788	Collected	01073.jpg
1173	673	50	39	96.478561	by	01073.jpg
1243	673	65	32	96.962975	the	01073.jpg
1330	673	157	33	91.550835	Federal	01073.jpg
1509	673	94	33	91.152222	Gov-	01073.jpg
456	725	1149	41	-1.0		01073.jpg
456	725	1149	41	-1.0		01073.jpg
456	725	1149	41	-1.0		01073.jpg
456	730	171	28	96.924934	ernment	01073.jpg
643	737	49	20	96.637001	on	01073.jpg
711	725	137	33	96.825073	Cotton	01073.jpg
866	726	76	32	96.602852	and	01073.jpg
961	726	121	33	96.491798	Other	01073.jpg
1100	726	182	40	96.429245	Property	01073.jpg
1301	726	38	33	95.7258	in	01073.jpg
1357	727	117	33	93.301468	South	01073.jpg
1493	727	112	33	92.782745	Caro-	01073.jpg
457	779	1148	41	-1.0		01073.jpg
457	779	1148	41	-1.0		01073.jpg
457	779	1148	41	-1.0		01073.jpg
457	779	78	33	96.680885	lina	01073.jpg
556	779	143	40	96.34446	During	01073.jpg
721	779	75	33	96.775162	and	01073.jpg
818	779	234	40	96.095665	Subsequent	01073.jpg
1073	785	40	27	96.527054	to	01073.jpg
1133	780	65	33	96.628983	the	01073.jpg
1218	780	94	33	96.662872	Civil	01073.jpg
1333	781	104	39	96.884659	War,	01073.jpg
1459	781	146	33	96.941048	Known	01073.jpg
458	833	1148	41	-1.0		01073.jpg
458	833	1148	41	-1.0		01073.jpg
458	833	1148	41	-1.0		01073.jpg
458	845	42	21	94.833786	as	01073.jpg
521	833	65	33	95.796318	the	01073.jpg
606	834	93	32	96.879166	War	01073.jpg
720	834	176	32	96.320145	Between	01073.jpg
917	834	65	32	96.056862	the	01073.jpg
1003	834	140	40	96.595299	States;	01073.jpg
1168	835	75	32	96.186111	and	01073.jpg
1264	840	40	28	96.04393	to	01073.jpg
1326	835	66	32	95.801804	Fix	01073.jpg
1413	835	65	33	93.229591	the	01073.jpg
1500	835	106	34	92.021896	Com-	01073.jpg
458	887	933	41	-1.0		01073.jpg
458	887	933	41	-1.0		01073.jpg
458	887	933	41	-1.0		01073.jpg
458	887	196	40	95.558762	pensation	01073.jpg
675	887	61	33	94.730637	for	01073.jpg
755	887	88	34	96.141068	Said	01073.jpg
864	888	127	39	96.379448	Agent	01073.jpg
1011	900	43	20	95.635101	or	01073.jpg
1073	888	318	40	95.635101	Representative.	01073.jpg
402	964	1203	42	-1.0		01073.jpg
402	964	1203	42	-1.0		01073.jpg
402	964	1203	42	-1.0		01073.jpg
402	966	167	36	96.331963	Whereas,	01073.jpg
587	964	106	32	95.401436	There	01073.jpg
712	965	26	31	96.2948	is	01073.jpg
755	975	19	21	96.162315	a	01073.jpg
792	975	71	21	96.162315	sum	01073.jpg
881	965	36	31	96.508682	of	01073.jpg
936	976	116	29	96.360062	money	01073.jpg
1069	966	31	30	96.360062	in	01073.jpg
1119	966	53	31	95.859802	the	01073.jpg
1190	972	147	34	96.549332	treasury	01073.jpg
1356	967	36	31	96.889267	of	01073.jpg
1411	967	53	31	96.858887	the	01073.jpg
1485	967	120	32	96.130241	United	01073.jpg
362	1019	1244	40	-1.0		01073.jpg
362	1019	1244	40	-1.0		01073.jpg
362	1019	1244	40	-1.0		01073.jpg
362	1019	106	31	95.901741	States	01073.jpg
489	1019	36	30	96.574661	of	01073.jpg
547	1019	151	31	96.779083	America	01073.jpg
718	1019	123	40	96.726837	arising	01073.jpg
863	1019	86	31	96.459328	from	01073.jpg
970	1020	53	31	96.104347	the	01073.jpg
1045	1019	101	31	96.743378	direct	01073.jpg
1167	1025	56	26	96.002785	tax	01073.jpg
1245	1020	103	31	96.207672	levied	01073.jpg
1369	1021	64	30	96.266373	and	01073.jpg
1453	1021	153	31	96.625648	collected	01073.jpg
360	1071	1246	44	-1.0		01073.jpg
360	1071	1246	44	-1.0		01073.jpg
360	1071	1246	44	-1.0		01073.jpg
360	1072	41	40	78.903534	by	01073.jpg
427	1072	53	31	96.027313	the	01073.jpg
507	1071	135	32	96.553978	Federal	01073.jpg
668	1072	221	32	96.439468	Government	01073.jpg
